Номер скважины,Глубина манометра,Dшт,Руст,Рзаб,Pлин,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит ст. конд.,Дебит воды,Дебит гааз,Дебит кон нестабильный,Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Pсб,Ro_c,Удельная плотность газа ,G_total,КГФ
807,"3579,00","7,94","259,61","365,86","103,47","101,42","52,00","27,20","105,90","28,09","70,73","1,14","1713,80","117,30","62,57","41,23",,"93,20","793,70","0,66","0,65","230,00"
807,"3579,00","9,53","239,42","342,27","103,20","104,18","58,00","34,60","105,70","35,10","79,58","1,66","2353,50","129,70","62,57","41,23",,"92,00","793,70","0,66","0,73","201,00"
807,"3579,00","11,11","213,43","312,27","103,19","103,00","61,00","41,20","105,20","41,11","85,50","2,59","3085,50","139,70","62,57","41,23",,"93,70","793,70","0,66","0,79","172,00"
807,"3579,00","12,70","194,24","291,74","103,23","103,92","62,00","43,70","104,50","44,14","86,21","3,16","3534,40","137,70","62,57","41,23",,"89,60","793,70","0,66","0,79","157,00"
807,"3579,00","14,29","166,00","263,03","107,38","107,54","63,00","49,20","103,40","49,75","88,07","3,51","4071,60","142,20","62,57","41,23",,"90,30","793,70","0,66","0,81","141,00"
807,"3582,50","9,53","206,00","292,00","105,51","105,03","56,00","37,40","104,60","37,79","59,90","0,80","2085,00","94,00","62,60",,"49,70","92,10","783,00","0,67","0,54","172,00"
20503,"3653,00","7,94","323,10","440,50","108,89","99,17","37,00","14,00","105,42","16,20","150,07","1,20","1784,00","492,80","63,60","53,27","56,70","99,40","798,0","0,6540","4,23","385,42"
20503,"3653,00","9,53","272,69","388,70","89,65","86,75","48,00","21,00","105,32","22,03","138,98","0,86","3127,00","238,30","63,60","53,27","56,70","99,70","798,0","0,6540","4,71","295,50"
20503,"3653,00","12,70","202,15","308,80","97,88","92,46","54,00","35,00","105,22","35,41","151,79","0,70","3895,70","245,00","63,60","53,27","56,70","99,20","798,0","0,6540","5,73","255,68"
20503,"3653,00","14,29","165,85","270,50","79,95","81,15","52,00","34,00","105,12","33,83","143,15","0,43","5129,00","221,20","63,60","53,27","56,70","98,90","798,0","0,6540","5,78","233,96"
